2024-2025学年第二学期全校总课表（部分）,,,,,,,,,,,,,,,
开课学院,课程名称,课程性质,教学班名称,课程号,学分,任课教师,课堂容量,已选人数,上课时间,教学地点,合班信息,起始结束周,课程归属,总学时,课程类别
财税学院,国际税收,专业选修课,(2024-2025-2)-80508-01,80508,2.0,蔡丞,133,0,星期四第4-5节{1-16周},J6-105,22财政1;22财政2;22财政3,1-16周,无,32,专业课
财税学院,税务会计与筹划,必修课,(2024-2025-2)-83563-01,83563,4.0,蔡丞,89,0,星期二第1-1节{1-16周};星期四第6-7节{1-16周},J6-103;J6-103,23税收2;23税收3,1-16周,无,48,专业课
财税学院,税务会计与筹划,必修课,(2024-2025-2)-83563-01A,83563,4.0,蔡丞,88,0,星期二第2-2节{1-16周},J6-103,23税收2;23税收3,1-16周,无,16,专业课
财税学院,国际税收,必修课,(2024-2025-2)-83565-01,83565,3.0,蔡丞,48,0,星期二第3-5节{1-16周},J6-103,24税收C1,1-16周,无,48,专业课
财税学院,税务稽查,专业选修课,(2024-2025-2)-83785-01,83785,2.0,蔡丞,48,0,星期四第1-2节{1-8周},J6-103,24税收C1,1-8周,无,8,专业课
财税学院,税务稽查,专业选修课,(2024-2025-2)-83785-01A,83785,2.0,蔡丞,47,0,星期四第1-2节{9-16周},S2-208,24税收C1,9-16周,无,8,专业课
财税学院,社会调查研究与方法,必修课,(2024-2025-2)-80700-01,80700,2.0,陈希敏,44,0,星期四第4-4节{1-16周},J6-101,24社保1,1-16周,无,16,专业课
财税学院,社会调查研究与方法,必修课,(2024-2025-2)-80700-01A,80700,2.0,陈希敏,43,0,星期四第5-5节{1-16周},J6-101,24社保1,1-16周,无,16,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-02,80701,2.0,陈希敏,85,0,星期五第6-6节{1-16周},J6-101,24税收1;24税收2,1-16周,无,16,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-02A,80701,2.0,陈希敏,84,0,星期五第7-7节{1-16周},J6-101,24税收1;24税收2,1-16周,无,16,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-03,80701,2.0,陈希敏,47,0,星期四第6-6节{1-16周},J6-101,24财政1,1-16周,无,16,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-03A,80701,2.0,陈希敏,46,0,星期四第7-7节{1-16周},J6-101,24财政1,1-16周,无,16,专业课
财税学院,劳动争议处理实务,专业选修课,(2024-2025-2)-83792-01,83792,2.0,陈希敏,41,0,星期二第1-2节{1-12周},J6-208,22社保1,1-12周,无,24,专业课
财税学院,劳动争议处理实务,专业选修课,(2024-2025-2)-83792-01A,83792,2.0,陈希敏,40,0,星期二第1-2节{13-16周},J6-208,22社保1,13-16周,无,8,专业课
财税学院,职场风险与权益维护,通识选修课,(2024-2025-2)-84703-01,84703,2.0,陈希敏,100,0,星期三第6-7节{1-16周},J6-208,无,1-16周,通用能力拓展模块,32,通识课
财税学院,财政学,学科选修课,(2024-2025-2)-83154-01,83154,2.0,陈祥槐,82,0,星期一第1-2节{1-16周},J6-203,22保险1;23社保1,1-16周,无,32,专业课
财税学院,公共管理学,学科选修课,(2024-2025-2)-83158-01,83158,2.0,陈祥槐,131,0,星期一第6-7节{1-12周},J6-203,23税收1;23税收2;23税收3,1-12周,无,24,专业课
财税学院,公共管理学,学科选修课,(2024-2025-2)-83158-01A,83158,2.0,陈祥槐,130,0,星期一第6-7节{13-16周},J6-203,23税收1;23税收2;23税收3,13-16周,无,8,专业课
财税学院,公共部门绩效管理与实务,专业选修课,(2024-2025-2)-83774-01,83774,2.0,陈祥槐,133,0,星期二第4-4节{1-16周},J6-203,22财政1;22财政2;22财政3,1-16周,无,16,专业课
财税学院,公共部门绩效管理与实务,专业选修课,(2024-2025-2)-83774-01A,83774,2.0,陈祥槐,132,0,星期二第5-5节{1-16周},J6-203,22财政1;22财政2;22财政3,1-16周,无,16,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-05,84007,2.0,陈祥槐,33,0,星期一第4-5节{1-16周},J6-203,无,1-16周,无,32,专业课
财税学院,政府预算,专业选修课,(2024-2025-2)-84093-01,84093,2.0,陈祥槐,43,0,星期二第1-2节{1-16周},J6-203,23税收1,1-16周,无,32,专业课
财税学院,政府预算,专业选修课,(2024-2025-2)-84093-02,84093,2.0,陈祥槐,89,0,星期一第9-10节{1-16周},J6-203,23税收2;23税收3,1-16周,无,32,专业课
财税学院,专业综合实训,实践选修课,(2024-2025-2)-84195-01,84195,4.0,陈祥槐,133,0,,,22财政1;22财政2;22财政3,1-16周,无,128,实践课
财税学院,中国税制,必修课,(2024-2025-2)-83444-02,83444,3.0,高伟华,45,0,星期五第6-7节{1-16周},J6-104,23财政2,1-16周,无,32,专业课
财税学院,中国税制,必修课,(2024-2025-2)-83444-02A,83444,3.0,高伟华,44,0,星期五第8-8节{1-16周},J6-104,23财政2,1-16周,无,16,专业课
财税学院,税务会计与筹划,必修课,(2024-2025-2)-83563-02,83563,4.0,高伟华,43,0,星期四第7-7节{1-16周};星期五第1-2节{1-16周},J6-104;J6-104,23税收1,1-16周,无,48,专业课
财税学院,税务会计与筹划,必修课,(2024-2025-2)-83563-02A,83563,4.0,高伟华,42,0,星期四第6-6节{1-16周},J6-104,23税收1,1-16周,无,16,专业课
财税学院,出口退税实训,专业选修课,(2024-2025-2)-83784-01,83784,3.0,高伟华,205,0,星期四第11-13节{1-16周},S2-201,22财务1;22财务2;22会计1;22会计2,1-16周,无,48,专业课
财税学院,税收筹划,专业选修课,(2024-2025-2)-83839-01,83839,2.0,高伟华,19,0,星期四第4-5节{1-16周},J6-104,22CMA,1-16周,无,32,专业课
